"","curveID","J_ref","J_ref_SE","J_ref_var","E","E_SE","E_var","E_D","E_D_SE","E_D_var","T_opt","T_opt_SE","T_opt_var","Topt_ED_cov","Topt_ED_cor","Amax","AIC","r_sq","breadth_90"
"13",19,13.8141839477607,0.0218931640868504,0.000479310633733755,0.151225065271488,0.00213068060208139,4.53979982808593e-06,2.79007693485299,0.0706175993443186,0.0049868453371547,32.9104583460827,0.0626387239437917,0.00392360973730654,0.00413989104492136,0.935907785318272,15.211504988637,-183.289889529521,0.976665810275884,8.4
"14",20,12.6954181650781,0.0893900826057904,0.00799058686827003,0.231680067628865,0.00508740328317088,2.58816721656179e-05,1.37882192999924,0.0359721407850771,0.00129399491266141,30.8569651427522,0.0578332695518967,0.00334468706706234,0.00175389228829181,0.843060785179481,12.565557773654,-441.092497504441,0.984253337875003,9.9
"15",21,13.694811790681,0.013534590696513,0.000183185145322136,0.0568249942729302,0.00121657314451436,1.48005021595355e-06,5.0696029381295,0.332405260823583,0.110493257423194,36.9913177083607,0.13622853061768,0.0185582125542521,0.0437157186917038,0.965387479138532,14.7498467565961,-151.803073845239,0.917146950226655,12.2
"16",22,10.7764939372887,0.0140046631139446,0.00019613058893508,7.05918191486734e-09,0.000372052149692073,1.38422802090493e-07,3.86467782082139,0.0302350515621785,0.000914158342967594,1.38749901639037,88602.7784578485,7850452350.45059,-451.540621074984,-0.16855388671975,10.776493663021,-194.66112407616,0.99731669007181,20.8
"17",23,11.8968347366959,0.0158265385351867,0.000250479322005751,0.0912380524857892,0.00273035221362572,7.45482321045086e-06,2.55819021484672,0.0317368453784175,0.00100722735457358,30.2696909638005,0.0522930362511097,0.00273456164035987,0.00115257836842498,0.694484967817097,12.2021450084362,-354.868257947752,0.994471682415463,11.4
"18",25,7.56553481100935,0.0139789125092802,0.000195409994942111,0.00951252665781372,0.00207095980504498,4.28887451411195e-06,6.99527722114733,0.200549346088541,0.0402200402165413,36.4351559276978,0.201824066993748,0.0407329540178969,0.00519569289186461,0.128365781467107,7.65924758473287,-222.049649759077,0.969450526424777,25.9
"19",26,12.0851205109775,0.0274822089515622,0.000755271808857327,0.0401371760283106,0.00413116562495278,1.70665294207915e-05,3.57389215133947,0.0691370957092248,0.0047799380031065,31.7762583622964,0.147603365997707,0.021786753653853,0.00143825723466805,0.140938347144759,12.3713882622185,216.799898926483,0.987429066220511,16.6
"20",27,8.42887880107795,0.0109096959857388,0.000119021466501245,0.119418555053465,0.00134049590685586,1.79692927629731e-06,2.34365419249706,0.0586729296232514,0.00344251267057501,33.2560824650735,0.0578862160885174,0.00335081401304653,0.00310266803540986,0.913529079286336,9.06631903413282,-917.523654794784,0.984520284120964,10.4
"21",28,18.7173743085451,0.357846436809368,0.128054072337161,0.350681300394494,0.0106701167342837,0.000113851391123241,1.09433666238333,0.0231063629989543,0.000533904011039443,30.440212937255,0.0818081902776107,0.00669257999649777,0.00153163496581915,0.810264655584975,16.2425993313217,55.7925858820611,0.977598011355251,10
"22",29,6.95674283235575,0.0048854063347603,2.38671950557161e-05,0.238131868316638,0.000951705612152234,9.05743572202059e-07,3.43600449310192,0.0356718570188594,0.00127248138317395,34.3834466042216,0.022176339618084,0.000491790038856602,0.000724873680603063,0.916319120060049,8.59001646523542,-1173.98118099349,0.9972965599116,6.1
